year_,fire_name,alarm_date,cause,gis_acres,shape_area,cause_desc
2007,,2007-01-07,8,14.803358078002901,59907.065201895995,Playing with Fire
2007,ROSE,2007-04-12,11,8.33595561981201,33734.4151009108,Power Line
2007,BAYNE,2007-07-01,7,125.960571289062,509744.36102914205,Arson
2007,PLACERVILLE,2007-06-18,14,0.9817881584167479,3973.15581271791,Unknown/Unidentified
2007,AMMO,2007-10-23,14,21493.908203125,86982761.4227948,Unknown/Unidentified
2007,RED STAR,2007-01-07,14,208.714447021484,844637.3925106621,Unknown/Unidentified
2007,BACK,2007-07-06,1,28.2099418640137,114161.587220468,Lightning
2007,CHINA,2007-07-10,1,2939.36328125,11895181.0896809,Lightning
2007,SKY,2007-07-10,1,21.53662109375,87155.61170505879,Lightning
2007,BUTLER,2007-09-01,1,87.5025787353516,354110.35848055,Lightning
2007,DOGWOOD,2007-08-29,1,12.925917625427198,52309.331144156604,Lightning
2007,ELLIOT,2007-09-01,1,18.190486907959002,73614.2865039093,Lightning
2007,DEVORE,2007-08-04,2,14.000338554382301,56657.3617107522,Equipment Use
2007,SAND,2007-08-02,5,108.178764343262,437783.937199592,Debris
2007,BLUECUT,2007-07-13,2,24.778417587280302,100274.69710657801,Equipment Use
2007,ROCK BSFMU A6,2007-07-06,1,267.275177001953,1081624.32709313,Lightning
2007,SAGE,2007-07-06,1,6462.6201171875,26153295.7939306,Lightning
2007,SANTIAGO,2007-10-21,9,28429.98046875,115052046.15213999,Miscellaneous
2007,SENTINEL,2007-07-05,1,12.165870666503901,49233.5302321541,Lightning
2007,SEVEN,2007-07-06,1,1643.7687988281198,6652096.30199868,Lightning
2007,SLIDE,2007-10-22,9,12769.248046875,51675311.509597205,Miscellaneous
2007,RICE,2007-10-07,9,9471.853515625,38331231.9355156,Miscellaneous
2007,LARSON,2007-06-01,1,1075.99938964844,4354415.03849431,Lightning
2007,PONDEROSA,2007-09-19,11,14.640404701232901,59247.6169617373,Power Line
2007,TWIN,2007-08-31,1,30.3083438873291,122653.519632351,Lightning
2007,WALKER,,1,794.1240234375,3213705.87037981,Lightning
2007,LAKE,2007-09-03,9,12.5574398040771,50818.155943779006,Miscellaneous
2007,BROWN,2007-07-20,9,1430.31726074219,5788288.8331196,Miscellaneous
2007,BODFISH,2007-06-10,14,213.11619567871102,862450.67223944,Unknown/Unidentified
2007,DANHAUSER,2007-08-30,14,145.139739990234,587359.711308419,Unknown/Unidentified
2007,SAN BENITO,2007-08-18,14,16.036626815795902,64897.9261763322,Unknown/Unidentified
2007,SCHOTT,2007-01-24,14,60.566341400146506,245103.281782687,Unknown/Unidentified
2007,HONEY,2007-05-22,11,726.403564453125,2939650.87183846,Power Line
2007,HWY 32,2007-08-03,10,247.546981811523,1001787.09842038,Vehicle
2007,BANGOR,2007-08-07,7,1057.2021484375,4278345.19392863,Arson
